Location;Crop;Unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;;;
Colombia;Maize;Tonnes/hectare;1,45;1,55;1,52;1,55;1,57;1,55;1,63;1,71;1,66;1,77;2,10;2,08;2,05;2,58;2,95;2,90;2,97;3,09;3,08;2,91;2,62;3,75;3,53;3,28;3,76;3,19;3,64;3,50;3,76;3,97;3,87;3,88;3,91;3,93;3,94;3,96;3,98;4,00;4,02;4,04;4,06;;;
Egypt;Maize;Tonnes/hectare;5,78;5,89;6,14;6,08;5,91;6,16;6,95;7,13;7,23;7,52;7,86;7,84;7,68;7,83;7,90;8,12;8,37;8,04;7,91;7,82;7,27;7,74;7,78;7,72;7,76;7,35;7,61;7,79;7,80;6,85;7,21;7,25;7,29;7,33;7,35;7,39;7,43;7,47;7,51;7,54;7,58;;;
Ethiopia;Maize;Tonnes/hectare;1,74;1,74;1,74;0,95;1,06;1,84;1,46;1,74;1,62;1,72;1,62;1,74;1,88;1,53;1,61;2,01;2,64;1,97;2,14;2,20;2,81;3,09;3,00;3,23;3,63;3,95;3,93;4,21;4,76;4,83;4,61;4,67;4,72;4,79;4,84;4,89;4,95;5,01;5,07;5,13;5,20;;;
India;Maize;Tonnes/hectare;1,52;1,38;1,68;1,60;1,45;1,59;1,71;1,71;1,75;1,79;1,82;2,00;1,68;2,04;1,91;1,94;1,91;2,33;2,41;2,02;2,54;2,48;2,56;2,57;2,61;2,60;2,69;3,04;3,04;3,04;3,01;3,14;3,18;3,22;3,27;3,32;3,38;3,43;3,48;3,54;3,59;;;
Indonesia;Maize;Tonnes/hectare;2,15;2,20;2,20;2,21;2,26;2,49;2,61;2,65;2,66;2,77;2,85;3,09;3,24;3,34;3,45;3,47;3,66;4,08;4,24;4,44;4,57;4,90;4,84;4,95;5,18;5,37;4,88;5,43;5,51;5,50;5,55;5,71;5,79;5,87;5,96;6,05;6,15;6,25;6,34;6,44;6,54;;;
Iran;Maize;Tonnes/hectare;4,33;4,48;4,44;3,89;6,40;4,54;6,25;6,93;6,03;6,21;6,15;6,15;7,15;6,71;7,03;7,23;10,57;10,27;6,42;5,91;6,90;7,20;6,18;6,39;7,09;7,04;7,36;7,04;6,97;5,50;6,78;6,80;6,82;6,84;6,85;6,86;6,88;6,90;6,92;6,94;6,95;;;
Israel;Maize;Tonnes/hectare;13,71;15,00;13,17;11,83;11,00;10,67;1,00;1,00;1,00;1,00;1,33;1,17;1,00;1,00;10,00;6,50;19,50;18,60;19,80;25,16;29,05;33,68;25,45;22,54;34,10;20,70;22,92;30,00;31,33;29,33;27,00;30,11;30,60;30,97;31,40;31,90;32,44;32,97;33,49;34,01;34,53;;;
Japan;Maize;Tonnes/hectare;2,55;2,36;2,52;2,50;2,48;2,50;2,45;2,48;2,45;2,40;2,58;2,50;2,46;2,22;2,50;2,52;2,19;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;;;
Kazakhstan;Maize;Tonnes/hectare;3,12;2,73;2,92;3,03;2,09;1,58;1,67;1,82;2,69;3,00;3,29;3,77;4,10;4,46;4,49;4,24;4,14;4,58;4,42;4,76;4,81;4,97;5,20;5,27;5,27;5,32;5,65;5,73;5,75;5,71;5,88;6,02;6,07;6,13;6,20;6,27;6,37;6,46;6,55;6,64;6,73;;;
Korea;Maize;Tonnes/hectare;4,61;3,41;4,40;4,18;4,09;4,25;4,03;4,11;3,98;3,94;4,06;4,03;4,22;4,14;4,26;4,84;4,73;4,92;5,05;5,02;4,79;4,65;4,89;5,06;5,18;5,09;4,85;4,82;4,83;4,84;4,85;4,86;4,87;4,88;4,89;4,91;4,92;4,93;4,94;4,95;4,96;;;
