Location;Crop;Unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;;;
Ethiopia;Maize;Thousand tonnes;0,00;0,00;0,00;1 396.00;1 990.00;3 164.00;2 463.00;2 987.00;2 344.00;2 832.00;2 683.00;3 298.00;2 826.00;2 744.00;2 906.00;3 912.00;4 030.00;3 337.00;3 776.00;3 897.00;4 986.00;6 069.00;6 158.00;6 492.00;7 235.00;7 882.00;7 847.00;8 396.00;9 493.00;9 636.00;9 200.00;9 587.23;9 879.32;10 300.13;10 597.70;10 905.45;11 212.20;11 493.00;11 763.20;12 021.11;12 275.90;;;
India;Maize;Thousand tonnes;8 962.00;8 064.00;9 992.00;9 601.00;8 884.00;9 534.00;10 769.00;10 816.00;10 677.00;11 509.60;12 043.20;13 160.20;11 151.70;14 984.30;14 180.00;14 709.90;15 097.00;18 955.40;19 731.40;16 719.50;21 725.80;21 760.00;22 260.00;24 259.51;24 170.00;22 570.00;25 900.00;28 753.00;27 715.00;28 636.00;28 500.00;30 101.48;30 456.50;30 798.11;31 336.07;31 944.12;32 606.15;33 218.10;33 823.97;34 425.31;35 034.59;;;
Indonesia;Maize;Thousand tonnes;6 256.00;7 995.00;6 460.00;6 869.00;8 246.00;9 307.00;8 771.00;10 169.00;9 204.00;9 676.90;9 347.20;9 654.10;10 886.40;11 225.20;12 523.90;11 609.50;13 287.53;16 323.92;17 629.74;18 327.64;17 643.25;19 387.02;18 511.85;19 008.43;19 612.44;20 369.55;20 500.00;21 655.00;22 586.00;22 500.00;23 132.40;23 744.02;23 927.91;24 394.53;24 734.30;25 180.22;25 697.61;26 149.57;26 575.25;27 026.15;27 458.93;;;
Iran;Maize;Thousand tonnes;130,00;188,00;200,00;210,00;512,00;545,00;637,00;915,00;941,00;1 156.00;1 120.00;1 064.00;1 430.00;1 650.00;1 926.00;1 995.00;2 166.13;2 361.30;1 560.99;1 335.00;1 657.00;1 907.01;1 798.00;1 852.00;1 658.88;1 168.63;1 170.59;1 211.00;1 338.00;1 100.00;1 275.00;1 226.08;1 206.45;1 202.95;1 198.60;1 204.93;1 217.47;1 232.13;1 242.25;1 248.94;1 253.82;;;
Israel;Maize;Thousand tonnes;96,00;90,00;79,00;71,00;66,00;64,00;7,00;7,00;8,00;8,00;8,00;7,00;6,00;0,00;20,00;13,00;78,00;93,00;99,00;81,00;86,00;96,00;85,00;110,00;163,60;89,00;80,00;90,00;94,00;88,00;81,00;92,00;91,05;94,31;95,61;98,49;102,27;105,68;108,82;111,75;114,71;;;
Japan;Maize;Thousand tonnes;0,81;0,73;0,70;0,50;0,42;0,30;0,25;0,27;0,23;0,18;0,19;0,17;0,16;0,14;0,15;0,16;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
Kazakhstan;Maize;Thousand tonnes;0,00;330,00;368,00;355,00;234,00;136,00;122,00;111,00;167,00;198,00;247,00;320,00;435,00;437,00;458,00;432,00;413,61;421,22;420,16;471,20;462,04;481,96;520,43;569,26;663,99;734,09;762,36;784,70;862,09;895,98;958,00;990,78;1 000.88;1 014.53;1 029.91;1 046.62;1 066.80;1 086.57;1 106.05;1 125.34;1 144.54;;;
Korea;Maize;Thousand tonnes;119,87;74,61;92,20;82,11;88,58;74,47;72,17;86,76;80,20;79,33;64,20;57,22;73,22;70,24;77,62;73,47;64,62;83,51;92,83;76,97;74,34;73,61;83,21;80,47;82,01;78,24;73,68;72,59;74,68;75,10;73,58;72,18;70,98;70,06;69,10;68,43;67,82;67,15;66,37;65,53;64,71;;;
Malaysia;Maize;Thousand tonnes;35,00;35,00;36,00;38,00;40,00;43,00;45,00;48,00;50,00;57,00;65,00;67,00;70,00;72,00;72,00;75,00;32,08;32,08;32,96;36,40;47,60;59,84;83,60;86,50;59,19;62,46;64,87;72,56;84,17;85,00;85,00;90,44;89,57;91,03;92,24;94,26;97,08;99,87;102,42;104,81;107,26;;;
Mexico;Maize;Thousand tonnes;14 635.00;14 251.50;16 929.34;18 125.26;18 235.83;18 352.86;18 025.95;17 656.26;18 454.71;17 706.40;17 556.90;20 134.31;19 297.76;20 701.42;21 685.83;19 338.71;21 893.21;23 512.75;24 410.28;20 142.82;23 301.88;17 635.42;22 069.25;22 663.95;23 273.26;24 694.05;28 250.78;27 762.48;27 169.40;27 227.40;27 599.39;28 008.40;28 491.16;29 003.72;29 002.69;29 063.52;29 195.00;29 415.04;29 612.51;29 764.91;29 904.88;;;
New Zealand;Maize;Thousand tonnes;183,39;163,84;133,07;142,77;160,80;209,70;193,80;176,10;197,22;181,25;176,80;148,80;211,69;234,25;210,25;215,65;185,63;205,56;237,84;188,81;210,18;211,23;201,66;202,00;237,00;226,00;210,00;175,60;192,00;196,00;181,77;189,39;197,41;205,49;206,73;208,46;210,62;213,02;215,30;217,51;219,66;;;
Nigeria;Maize;Thousand tonnes;5 768.00;5 810.00;5 840.00;6 290.00;6 902.00;6 931.00;5 667.00;5 254.00;5 127.00;5 476.00;4 107.00;4 596.00;4 890.00;5 203.00;5 567.00;5 957.00;7 100.00;6 712.00;7 525.00;7 358.00;7 677.00;8 878.00;8 695.00;10 379.80;10 901.60;9 540.20;9 598.40;11 082.96;12 760.00;12 599.00;12 403.00;12 709.91;12 753.07;12 876.11;12 973.52;13 063.28;13 169.37;13 273.42;13 373.71;13 467.00;13 553.37;;;
Norway;Maize;Thousand tonnes;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
OECD - Total;Maize;Thousand tonnes;264 645.12;266 172.16;312 702.39;237 931.49;334 188.37;266 726.05;319 900.03;327 370.89;334 813.20;331 886.66;334 031.97;337 922.50;324 286.93;347 202.33;410 866.33;383 704.93;362 782.93;424 624.56;416 416.64;430 404.72;419 257.17;421 784.27;376 649.54;464 621.13;484 040.23;452 854.66;499 430.89;487 081.28;483 332.08;465 425.12;473 290.27;484 458.64;488 874.34;493 750.83;493 785.16;495 411.37;498 243.48;502 296.86;506 270.65;509 207.63;511 969.51;;;
Pakistan;Maize;Thousand tonnes;1 185.00;1 203.00;1 184.00;1 213.00;1 318.00;1 504.00;1 491.00;1 517.00;1 665.00;1 652.00;1 643.20;1 664.40;1 737.10;1 897.40;2 797.00;3 109.60;3 088.00;3 604.70;3 593.00;3 261.50;3 706.91;4 338.38;4 220.10;4 944.21;4 936.75;5 270.91;6 134.00;5 902.00;6 308.90;6 700.00;7 000.00;7 146.10;7 228.85;7 430.50;7 582.48;7 749.49;7 935.47;8 104.96;8 279.80;8 452.64;8 621.36;;;
Paraguay;Maize;Thousand tonnes;401,00;450,00;439,00;462,00;816,00;654,00;1 056.00;874,00;817,00;647,00;947,00;867,00;932,00;1 120.00;830,00;1 100.00;1 250.00;1 425.00;1 858.00;3 109.00;3 346.00;3 079.50;4 120.00;3 200.00;4 985.90;5 152.00;5 156.00;5 344.60;5 576.90;5 834.59;6 009.63;6 220.19;6 334.02;6 499.10;6 611.58;6 762.22;6 947.64;7 138.31;7 326.35;7 511.69;7 700.85;;;
Peru;Maize;Thousand tonnes;660,00;520,00;772,00;725,00;715,00;810,00;826,00;933,00;1 059.00;1 241.00;1 311.00;1 291.00;1 354.00;1 200.00;1 243.00;1 269.00;1 362.00;1 481.00;1 560.00;1 541.00;1 516.00;1 674.00;1 671.35;1 530.00;1 746.00;1 510.00;1 482.30;1 568.50;1 546.80;1 480.00;1 502.32;1 590.73;1 620.97;1 669.58;1 706.23;1 750.19;1 805.59;1 864.95;1 921.97;1 978.49;2 036.87;;;
Philippines;Maize;Thousand tonnes;4 854.00;4 655.00;4 619.00;4 798.00;4 129.00;4 161.00;4 345.00;4 332.00;3 823.00;4 585.00;4 511.10;4 525.00;4 313.00;4 615.60;5 413.40;5 253.20;6 082.11;6 736.94;6 928.23;7 034.03;6 376.80;6 971.22;7 407.07;7 377.29;7 770.60;7 518.76;7 218.82;7 914.91;7 771.92;7 978.85;8 118.55;8 392.41;8 400.52;8 515.48;8 644.46;8 777.79;8 958.36;9 117.29;9 270.88;9 422.40;9 574.42;;;
Russia;Maize;Thousand tonnes;2 451.15;2 092.07;2 135.00;2 441.00;892,00;1 738.00;1 100.00;2 675.00;900,00;1 100.00;1 530.00;847,00;1 563.00;2 122.00;3 373.00;3 060.00;3 510.35;3 798.02;6 682.30;3 963.43;3 084.35;3 932.44;8 212.92;11 634.94;11 332.14;13 173.30;15 309.81;13 235.75;11 419.00;14 282.30;14 000.00;14 869.23;15 309.54;15 765.16;16 169.79;16 568.45;17 015.09;17 457.34;17 916.96;18 359.65;18 811.06;;;
Saudi Arabia;Maize;Thousand tonnes;4,00;5,00;5,00;6,00;6,00;6,00;7,00;6,00;7,00;4,00;41,00;20,00;30,00;36,00;54,00;91,00;126,00;135,00;163,00;161,40;79,00;91,70;93,40;95,40;80,00;77,00;94,00;80,00;84,00;89,00;88,00;81,61;77,36;69,06;62,39;58,19;57,28;57,98;59,89;62,80;66,49;;;
South Africa;Maize;Thousand tonnes;8 614.00;3 277.00;9 997.00;13 275.00;4 866.00;10 171.00;10 136.00;7 693.00;7 966.00;11 431.00;7 772.00;10 076.00;9 705.00;9 710.00;11 716.00;6 935.00;7 339.00;13 164.00;12 567.00;13 421.00;10 924.00;12 759.00;12 486.00;14 925.00;10 629.00;8 214.50;17 551.00;13 104.00;11 807.05;15 966.00;16 444.98;16 701.74;17 035.45;17 259.83;17 471.78;17 777.38;18 138.94;18 531.39;18 939.43;19 372.11;19 841.43;;;
Switzerland;Maize;Thousand tonnes;233,00;227,00;193,00;193,00;257,00;225,00;203,00;194,00;191,81;192,34;212,39;217,60;189,00;90,70;180,90;198,90;152,40;177,60;170,70;174,03;143,50;178,00;175,00;153,00;169,00;113,00;144,41;162,45;134,83;133,04;146,69;146,54;146,45;146,36;146,06;145,84;145,66;145,57;145,46;145,31;145,14;;;
Thailand;Maize;Thousand tonnes;3 722.00;3 793.00;3 672.00;3 231.00;3 893.00;4 147.00;4 533.00;3 832.00;4 617.00;4 286.00;4 462.00;4 466.00;4 230.00;4 178.00;4 216.00;3 943.00;3 716.00;3 890.00;4 249.00;4 616.00;4 861.00;4 984.26;4 947.53;4 876.18;4 729.53;4 611.00;4 615.00;4 821.00;5 035.00;4 309.00;5 000.00;4 476.49;4 564.03;4 611.74;4 650.08;4 683.38;4 719.61;4 767.34;4 813.20;4 858.53;4 904.64;;;
Türkiye;Maize;Thousand tonnes;2 100.00;2 180.00;2 225.00;2 500.00;1 850.00;1 900.00;2 000.00;2 080.00;2 300.00;2 297.00;2 300.00;2 200.00;2 100.00;2 800.00;3 000.00;4 200.00;3 811.00;3 535.00;4 274.00;4 250.00;4 310.00;4 200.00;4 600.00;5 900.00;5 950.00;6 400.00;6 400.00;5 900.00;5 700.00;6 000.00;6 031.00;6 655.86;6 702.30;6 699.06;6 727.77;6 842.44;7 002.96;7 146.01;7 279.65;7 406.87;7 537.55;;;
Ukraine;Maize;Thousand tonnes;0,00;4 747.00;2 851.00;3 785.00;1 539.00;3 600.00;1 870.00;5 340.00;2 301.00;1 737.00;3 800.00;3 850.00;4 180.00;6 880.00;8 870.00;7 167.00;6 425.60;7 421.10;11 446.80;10 486.30;11 953.00;22 837.90;20 961.30;30 949.55;28 496.81;23 327.57;28 074.61;24 668.80;35 801.05;35 880.05;30 284.00;38 564.94;38 872.23;39 462.59;39 953.85;40 625.29;41 362.74;42 052.05;42 715.11;43 353.47;44 009.29;;;
United Kingdom;Maize;Thousand tonnes;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
United States;Maize;Thousand tonnes;201 539.47;189 879.95;240 734.75;160 947.07;256 625.99;187 314.35;234 523.96;233 871.13;247 887.96;239 558.64;251 863.37;241 395.21;228 821.22;256 915.83;299 921.41;282 267.02;267 610.07;332 105.75;307 389.60;332 562.98;316 178.69;313 968.72;273 198.51;351 284.26;361 114.83;345 518.00;384 789.50;370 970.81;364 264.68;345 975.24;360 251.16;368 645.79;372 130.85;375 974.54;375 475.01;376 401.41;378 381.47;381 546.24;384 658.54;386 835.06;388 846.70;;;
Viet Nam;Maize;Thousand tonnes;671,00;672,00;748,00;882,00;1 144.00;1 177.00;1 537.00;1 651.00;1 612.00;1 753.00;2 006.00;2 162.00;2 511.00;3 136.00;3 430.90;3 787.10;3 854.50;4 303.20;4 573.10;4 371.70;4 606.80;4 835.72;4 973.48;5 190.90;5 202.51;5 287.26;5 247.00;5 109.77;4 874.05;4 757.00;4 608.00;4 820.76;4 854.76;4 918.91;4 944.08;4 992.23;5 072.27;5 153.22;5 235.27;5 298.71;5 374.98;;;
World;Maize;Thousand tonnes;469 836.06;482 819.90;538 609.69;480 059.80;569 054.48;522 071.85;593 049.34;582 697.11;610 663.09;613 799.56;641 741.94;609 230.16;617 620.12;639 879.95;727 885.53;712 997.94;723 936.77;811 864.91;822 466.31;851 122.04;866 891.67;923 625.42;919 950.65;1 054 735.71;1 075 410.96;1 035 711.18;1 153 396.48;1 106 702.19;1 148 124.10;1 148 622.47;1 157 533.90;1 183 380.71;1 201 435.47;1 218 906.46;1 227 236.31;1 239 019.15;1 253 281.66;1 268 789.36;1 284 232.79;1 298 148.79;1 312 195.37;;;
Argentina;Rice;Thousand tonnes;291,040;236,640;498,440;413,440;413,160;629,680;670,480;819,400;687,540;1 127.440;614,721;584,120;484,840;488,240;720,800;650,080;811,580;734,468;853,400;910,452;845,444;1 188.708;1 066.240;1 063.180;1 074.400;1 060.800;952,000;904,400;930,240;809,109;816,000;871,153;870,223;872,049;875,095;880,998;884,068;885,631;885,773;886,821;888,568;;;
Australia;Rice;Thousand tonnes;740,000;957,000;858,000;1 042.000;1 016.000;966,000;1 255.000;1 324.000;1 362.000;1 084.000;1 643.000;1 192.000;438,000;553,000;339,000;1 003.000;163,000;17,614;60,868;196,685;723,283;918,733;1 161.115;819,276;690,390;273,688;807,304;635,113;66,835;52,780;380,000;387,638;395,375;403,649;411,795;420,387;428,862;437,588;446,320;455,359;464,529;;;
Brazil;Rice;Thousand tonnes;5 338.560;6 697.990;6 769.010;6 635.010;7 050.410;7 529.460;6 724.790;6 381.080;5 670.210;7 875.760;7 767.708;7 062.480;7 225.748;7 049.628;8 813.072;9 081.536;7 970.756;7 694.812;8 210.320;8 569.700;7 929.412;9 256.908;7 887.660;8 037.396;8 242.688;8 465.048;7 210.040;8 382.904;8 203.520;7 128.440;7 604.712;7 570.733;7 515.487;7 509.256;7 490.901;7 496.090;7 465.906;7 424.579;7 377.033;7 336.131;7 307.472;;;
BRICS;Rice;Thousand tonnes;207 759.130;205 674.850;206 083.540;208 462.150;209 372.040;211 856.200;222 492.086;226 754.742;228 282.396;233 965.244;222 047.915;222 542.528;199 095.012;206 078.591;215 090.037;225 147.330;226 486.428;232 762.546;240 070.266;232 969.229;240 071.812;254 588.950;255 656.190;256 925.601;258 355.505;259 299.423;262 590.908;267 812.124;271 032.177;270 681.793;280 049.716;282 354.548;283 622.746;284 364.338;286 168.845;288 396.512;290 571.577;292 774.931;294 943.070;297 171.534;299 386.849;;;
Canada;Rice;Thousand tonnes;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
Chile;Rice;Thousand tonnes;91,520;78,740;89,840;88,160;89,500;98,250;102,960;72,280;70,190;41,050;90,922;96,441;95,499;94,758;80,289;78,606;107,882;74,232;81,702;85,673;63,733;87,759;100,815;87,692;90,788;110,076;117,108;86,054;129,760;117,706;117,573;125,399;124,517;126,860;126,554;127,138;127,912;129,183;130,524;132,035;133,557;;;
China (People's Republic of);Rice;Thousand tonnes;127 231.100;123 522.330;125 698.500;120 837.360;119 986.300;126 882.550;133 646.240;137 503.470;136 117.720;135 964.280;128 716.980;121 642.506;119 558.873;110 049.086;122 675.006;123 703.055;124 477.060;127 671.021;131 939.352;134 394.771;135 099.609;138 974.536;141 474.638;141 305.661;143 582.250;145 317.212;144 599.551;145 682.994;145 308.434;143 582.692;148 302.000;148 630.940;148 953.408;149 274.188;149 603.052;149 946.130;150 293.641;150 629.753;150 957.190;151 278.738;151 598.841;;;
Colombia;Rice;Thousand tonnes;1 380.000;1 008.600;1 017.000;1 068.600;1 050.000;1 185.920;1 131.520;1 244.400;1 567.313;1 485.930;1 584.727;1 510.775;1 654.363;1 633.915;1 708.901;1 500.428;1 336.482;1 439.696;1 643.397;1 686.332;1 351.976;1 366.179;1 322.886;1 390.099;1 260.368;1 423.289;1 798.805;1 838.093;1 762.166;1 802.135;2 005.821;2 012.161;2 019.161;2 027.734;2 034.063;2 041.591;2 048.829;2 056.728;2 064.621;2 073.094;2 081.323;;;
Egypt;Rice;Thousand tonnes;2 185.480;2 379.110;2 697.300;2 869.710;3 161.580;3 304.410;3 380.310;3 781.200;3 087.060;4 013.730;4 140.000;3 606.906;4 140.690;4 261.647;4 383.156;4 226.457;4 660.950;4 745.061;5 005.260;3 808.800;2 987.010;3 915.819;4 695.177;5 086.344;4 948.636;4 752.171;5 415.965;4 748.097;2 766.900;4 616.100;4 512.600;4 422.553;4 372.118;4 332.589;4 359.518;4 415.643;4 469.860;4 526.312;4 583.024;4 641.804;4 700.590;;;
Ethiopia;Rice;Thousand tonnes;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;6,500;6,500;10,010;9,100;8,450;7,800;7,800;7,280;46,345;46,410;67,015;58,760;57,590;78,650;60,060;85,670;82,420;88,401;98,162;111,705;110,910;115,700;120,336;126,769;133,599;137,735;141,412;144,600;147,780;150,827;153,878;156,848;;;
India;Rice;Thousand tonnes;74 291.290;74 679.800;72 860.400;80 300.280;81 810.100;76 980.270;81 730.080;82 540.120;86 080.300;89 679.810;84 976.915;93 340.005;71 820.258;88 529.760;83 130.156;91 789.923;93 356.001;96 690.168;99 180.292;89 089.788;95 980.132;105 299.931;105 240.000;106 645.600;105 480.000;104 405.400;109 698.430;112 757.605;116 480.000;118 870.000;122 999.800;125 031.569;126 056.258;126 504.608;127 982.374;129 837.176;131 671.355;133 555.997;135 422.444;137 347.236;139 248.854;;;
Indonesia;Rice;Thousand tonnes;30 721.720;30 389.200;32 803.200;32 763.760;30 783.720;32 828.400;33 216.300;31 107.510;30 996.000;32 147.310;32 800.168;31 891.352;32 541.680;32 950.963;34 183.932;34 223.495;34 415.497;34 501.507;36 441.979;37 025.251;37 193.999;36 551.512;37 459.169;37 703.798;37 053.908;38 290.864;37 263.158;37 285.567;37 900.182;34 957.502;35 313.430;35 824.272;36 351.175;36 212.610;36 433.984;36 469.858;36 418.444;36 476.725;36 616.521;36 650.202;36 733.224;;;
Iran;Rice;Thousand tonnes;1 307.460;1 484.910;1 486.800;1 437.030;1 423.170;1 449.000;1 691.550;1 480.500;1 745.730;1 479.240;1 272.266;1 283.694;1 862.464;1 890.584;1 639.876;1 765.264;1 684.852;1 718.433;1 335.152;1 378.369;1 606.049;1 220.993;1 522.200;1 580.247;1 514.003;1 514.266;1 884.075;2 067.870;2 003.370;2 852.384;2 515.500;2 518.122;2 516.863;2 595.096;2 624.738;2 666.852;2 708.957;2 763.130;2 812.828;2 861.885;2 907.797;;;
Israel;Rice;Thousand tonnes;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
Japan;Rice;Thousand tonnes;9 512.094;8 701.224;9 579.138;7 097.604;10 854.786;9 737.688;9 371.664;9 082.650;8 117.760;8 312.550;8 597.940;8 205.642;8 053.434;7 059.552;7 909.380;8 221.044;7 751.736;7 894.884;7 993.638;7 677.444;7 749.924;7 760.796;7 874.952;7 898.508;7 816.968;7 636.674;7 746.300;7 541.544;7 436.448;7 387.524;7 396.389;7 472.647;7 353.242;7 236.428;7 120.558;7 006.634;6 894.780;6 784.347;6 675.488;6 568.493;6 463.407;;;
Kazakhstan;Rice;Thousand tonnes;0,000;343,500;311,480;268,800;188,760;122,990;150,870;170,350;157,470;132,930;142,938;132,533;132,800;182,291;183,959;189,828;192,630;196,365;169,885;204,769;248,925;231,316;233,984;229,648;251,459;281,608;298,703;326,497;322,094;373,987;371,366;381,939;377,017;382,162;389,027;397,030;403,745;411,196;418,218;425,611;432,801;;;
Korea;Rice;Thousand tonnes;5 605.979;5 384.388;5 330.826;4 749.562;5 059.764;4 694.956;5 322.962;5 449.561;5 096.879;5 262.700;5 290.771;5 514.796;4 926.746;4 451.135;5 000.149;4 768.368;4 679.991;4 407.743;4 843.478;4 916.080;4 295.413;4 224.019;4 006.185;4 230.011;4 240.739;4 326.915;4 196.691;3 972.468;3 868.045;3 880.522;3 996.483;3 981.067;3 960.284;3 935.641;3 900.178;3 856.918;3 812.155;3 768.624;3 727.472;3 688.681;3 652.624;;;
Malaysia;Rice;Thousand tonnes;1 215.070;1 241.690;1 298.180;1 357.080;1 379.010;1 372.550;1 438.610;1 368.240;1 256.790;1 316.920;1 381.030;1 351.464;1 415.148;1 454.154;1 467.049;1 489.776;1 406.897;1 530.593;1 516.462;1 620.223;1 588.440;1 661.572;1 674.744;1 677.000;1 834.831;1 767.407;1 766.115;1 657.302;1 701.588;1 517.064;1 476.445;1 585.230;1 593.323;1 623.335;1 626.315;1 632.912;1 641.090;1 656.145;1 669.649;1 684.329;1 698.788;;;
Mexico;Rice;Thousand tonnes;200,000;190,000;200,000;189,539;246,587;242,240;260,090;309,840;302,354;231,820;249,526;226,639;227,194;273,266;278,540;291,149;337,250;294,697;224,371;263,028;216,677;173,461;178,787;179,776;232,159;236,018;254,043;265,567;283,763;282,934;358,231;321,122;282,356;243,329;241,828;241,180;239,310;236,384;232,737;229,534;226,062;;;
New Zealand;Rice;Thousand tonnes;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
Nigeria;Rice;Thousand tonnes;1 500.000;1 935.600;1 956.000;1 839.000;1 456.200;1 975.800;1 873.200;1 960.800;1 965.000;1 966.200;1 978.800;1 651.200;1 756.800;1 869.600;2 000.400;2 140.200;2 425.200;1 911.600;2 507.400;2 127.750;2 683.512;2 767.569;3 259.758;3 490.920;4 014.000;4 544.052;4 687.326;4 701.072;5 042.004;5 061.240;4 902.900;5 292.315;5 389.298;5 515.706;5 630.769;5 754.765;5 879.459;6 010.675;6 145.409;6 286.339;6 430.477;;;
Norway;Rice;Thousand tonnes;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
OECD - Total;Rice;Thousand tonnes;24 026.876;22 826.934;24 220.223;20 526.923;26 012.057;23 844.656;24 648.758;25 149.427;24 170.539;24 766.875;25 249.860;25 354.596;23 919.573;22 154.933;24 697.459;24 870.620;22 557.330;22 504.167;23 265.886;24 141.202;24 431.948;22 678.100;23 301.141;22 892.407;23 551.818;22 444.507;24 363.494;22 270.605;22 851.548;21 656.804;23 269.665;22 742.012;22 852.132;22 737.248;22 622.959;22 526.874;22 443.794;22 356.302;22 270.995;22 150.117;22 079.851;;;
Pakistan;Rice;Thousand tonnes;3 262.290;3 244.950;3 116.220;3 995.330;3 447.050;3 965.980;4 304.810;4 332.830;4 673.660;5 155.910;4 802.400;3 881.940;4 478.905;4 847.756;5 024.511;5 547.439;5 438.051;5 558.778;6 954.142;6 882.773;4 822.410;6 159.745;5 536.100;6 798.064;7 003.000;6 800.999;6 849.023;7 450.390;7 202.266;7 412.985;8 180.088;8 772.399;8 864.040;8 987.162;9 030.092;9 098.779;9 159.145;9 232.686;9 301.998;9 373.153;9 441.849;;;
Paraguay;Rice;Thousand tonnes;60,200;59,500;69,300;63,000;66,500;63,910;62,090;66,430;70,280;98,840;76,720;79,800;78,890;81,900;95,760;75,950;93,590;94,500;104,790;153,860;224,140;289,240;280,140;435,680;566,230;602,245;602,427;648,627;628,040;750,400;833,312;860,380;877,796;903,833;924,087;947,059;969,856;994,006;1 018.351;1 043.840;1 069.494;;;
Peru;Rice;Thousand tonnes;661,710;561,660;572,010;667,920;966,960;765,140;806,010;978,060;1 037.830;1 309.850;1 288.823;1 379.160;1 438.301;1 450.036;1 254.529;1 678.483;1 607.179;1 655.891;1 899.907;2 033.987;1 925.334;1 784.632;2 069.465;2 071.806;1 969.697;2 142.958;2 152.709;2 066.357;2 419.372;2 168.047;2 250.930;2 279.262;2 309.173;2 341.123;2 368.627;2 398.580;2 429.029;2 460.925;2 492.856;2 525.609;2 558.256;;;
Philippines;Rice;Thousand tonnes;6 463.480;5 972.320;6 221.500;6 488.980;6 786.550;7 316.730;7 319.350;6 536.860;6 723.480;7 819.870;8 184.810;8 540.586;8 488.266;9 259.332;9 477.114;9 881.286;10 146.810;10 877.982;11 163.780;10 144.194;10 940.112;11 116.692;11 862.252;12 309.588;12 367.794;11 427.458;12 131.406;12 700.929;12 178.526;12 379.379;12 883.980;12 821.632;13 001.612;13 252.507;13 436.012;13 644.399;13 851.046;14 068.428;14 286.458;14 511.737;14 737.825;;;
Russia;Rice;Thousand tonnes;896,180;772,730;753,630;687,500;523,230;461,920;388,976;328,072;412,166;443,394;584,311;495,536;488,133;448,116;469,802;570,815;680,610;704,544;738,300;912,969;1 060.658;1 055.574;1 051.891;934,943;1 048.566;1 109.762;1 080.886;986,620;1 038.222;1 098.660;1 141.203;1 118.985;1 095.378;1 074.111;1 090.396;1 115.056;1 138.667;1 162.643;1 184.512;1 207.612;1 229.948;;;
Saudi Arabia;Rice;Thousand tonnes;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
South Africa;Rice;Thousand tonnes;2,000;2,000;2,000;2,000;2,000;2,000;2,000;2,000;2,000;2,000;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,001;2,322;2,215;2,175;2,122;2,061;2,008;1,958;1,891;1,817;1,735;;;
